dt,user_pseudo_id,event_name,category,continent,country,region,medium,source
2023-08-03 13:07:44.000000 UTC,51840293.17,first_visit,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:44.000000 UTC,51840293.17,session_start,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:44.000000 UTC,51840293.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:45.000000 UTC,51840293.17,start_bnt,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:45.000000 UTC,51840293.17,scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:48.000000 UTC,51840293.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:07:53.000000 UTC,51840293.17,scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:08:15.000000 UTC,51840293.17,Q1-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:08:15.000000 UTC,51840293.17,Q2-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:08:44.000000 UTC,51840293.17,Q3-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:08:44.000000 UTC,51840293.17,Q4-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:08:48.000000 UTC,51840293.17,Q5-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:08:59.000000 UTC,51840293.17,Q6-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:09:05.000000 UTC,51840293.17,Q7-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:09:05.000000 UTC,51840293.17,Q8-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:09:13.000000 UTC,51840293.17,Q9-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:09:13.000000 UTC,51840293.17,Q10-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:09:14.000000 UTC,51840293.17,result_1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 13:09:14.000000 UTC,51840293.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-01 19:14:58.000000 UTC,54888742.17,first_visit,mobile,Asia,South Korea,,(none),(direct)
2023-08-01 19:14:58.000000 UTC,54888742.17,session_start,mobile,Asia,South Korea,,(none),(direct)
2023-08-01 19:14:58.000000 UTC,54888742.17,page_view,mobile,Asia,South Korea,,(none),(direct)
2023-08-01 19:15:03.000000 UTC,54888742.17,scroll,mobile,Asia,South Korea,,(none),(direct)
2023-08-01 19:15:03.000000 UTC,54888742.17,start_bnt,mobile,Asia,South Korea,,(none),(direct)
2023-08-01 22:43:45.000000 UTC,55277851.17,first_visit,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:43:45.000000 UTC,55277851.17,session_start,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:43:45.000000 UTC,55277851.17,page_view,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:43:47.000000 UTC,55277851.17,scroll,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:43:47.000000 UTC,55277851.17,start_bnt,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:43:48.000000 UTC,55277851.17,page_view,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:43:53.000000 UTC,55277851.17,scroll,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:09.000000 UTC,55277851.17,Q1-1,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:09.000000 UTC,55277851.17,Q2-1,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:09.000000 UTC,55277851.17,Q3-1,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:09.000000 UTC,55277851.17,Q4-2,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:09.000000 UTC,55277851.17,Q5-1,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:09.000000 UTC,55277851.17,Q6-2,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:09.000000 UTC,55277851.17,Q7-2,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:09.000000 UTC,55277851.17,Q8-1,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:09.000000 UTC,55277851.17,Q9-2,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:09.000000 UTC,55277851.17,Q10-1,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:15.000000 UTC,55277851.17,page_view,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:15.000000 UTC,55277851.17,result_4,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-08-01 22:44:21.000000 UTC,55277851.17,60 % Scroll,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-29 17:02:46.000000 UTC,68418006.17,first_visit,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-07-29 17:02:46.000000 UTC,68418006.17,session_start,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-07-29 17:02:46.000000 UTC,68418006.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:29:44.000000 UTC,70111781.17,first_visit,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:29:44.000000 UTC,70111781.17,session_start,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:29:44.000000 UTC,70111781.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:29:48.000000 UTC,70111781.17,start_bnt,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:29:48.000000 UTC,70111781.17,scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:29:52.000000 UTC,70111781.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:29:57.000000 UTC,70111781.17,scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:30:12.000000 UTC,70111781.17,Q1-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:30:29.000000 UTC,70111781.17,Q2-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:30:39.000000 UTC,70111781.17,Q3-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 12:30:45.000000 UTC,70111781.17,Q4-2,mobile,Asia,South Korea,Seoul,(none),(direct)
